timestamp,gps_longitude,gps_latitude,gps_accuracy_m
2025.12.15_17.07.56,4.389326674863696,50.82215812057257,
2025.12.15_17.07.57,4.389323573559523,50.822158539667726,
2025.12.15_17.07.59,4.389300188049674,50.8221563603729,
2025.12.15_17.08.05,4.389169933274388,50.82212316803634,
2025.12.15_17.08.13,4.389019142836332,50.82206139340997,
2025.12.15_17.08.22,4.388868771493435,50.82197832874954,
2025.12.15_17.08.28,4.388842033222318,50.821966426447034,
2025.12.15_17.08.34,4.388839937746525,50.821964582428336,
2025.12.15_17.08.39,4.388837339356542,50.821964582428336,
2025.12.15_17.08.46,4.388836920261383,50.82196248695254,
2025.12.15_17.08.55,4.388831472024322,50.821959134191275,
2025.12.15_17.08.59,4.388832729309797,50.8219594694674,
2025.12.15_17.09.11,4.388771876692772,50.82194019109011,
2025.12.15_17.09.14,4.388711526989937,50.82191546447575,
2025.12.15_17.09.19,4.388607759028673,50.82188847474754,
2025.12.15_17.09.24,4.388532740995288,50.821843883022666,
2025.12.15_17.09.25,4.388514971360564,50.821833992376924,
2025.12.15_17.09.26,4.388495944440365,50.82182695157826,
2025.12.15_17.09.28,4.388464344665408,50.8218212518841,
2025.12.15_17.09.30,4.38844146206975,50.82180633209646,
2025.12.15_17.09.35,4.388340376317501,50.821747574955225,
2025.12.15_17.09.39,4.388271560892463,50.821705078706145,
2025.12.15_17.09.40,4.388245325535536,50.82170197740197,
2025.12.15_17.09.41,4.388227136805654,50.82169652916491,
2025.12.15_17.09.42,4.3882080260664225,50.82169007509947,
2025.12.15_17.09.43,4.388196291401982,50.82167943008244,
2025.12.15_17.09.44,4.388186316937208,50.82166995853186,
2025.12.15_17.09.50,4.388082716614008,50.821612291038036,
2025.12.15_17.09.55,4.388011135160923,50.82156208343804,
2025.12.15_17.09.57,4.387974925339222,50.8215400390327,
2025.12.15_17.10.04,4.387810220941901,50.821508187800646,
2025.12.15_17.10.05,4.387793457135558,50.82150022499263,
2025.12.15_17.10.06,4.387770742177963,50.821500392630696,
2025.12.15_17.10.10,4.387714583426714,50.82150751724839,
2025.12.15_17.10.14,4.387699831277132,50.82149335183203,
2025.12.15_17.10.20,4.387595392763615,50.82143518142402,
2025.12.15_17.10.22,4.387564463540912,50.82141204737127,
2025.12.15_17.10.29,4.387431778013706,50.8213619235903,
2025.12.15_17.10.38,4.387246957048774,50.821291264146566,
2025.12.15_17.10.44,4.387124245986342,50.821255473420024,
2025.12.15_17.10.46,4.387073451653123,50.82124365493655,
2025.12.15_17.10.50,4.387019639834762,50.82119856029749,
2025.12.15_17.10.53,4.386996170505881,50.82115572877228,
2025.12.15_17.10.57,4.386918470263481,50.821124631911516,
2025.12.15_17.11.00,4.386854767799377,50.82109697163105,
2025.12.15_17.11.04,4.386797938495874,50.82107836380601,
2025.12.15_17.11.07,4.386791819706559,50.8210389688611,
2025.12.15_17.11.12,4.38680506311357,50.82096168771386,
2025.12.15_17.11.15,4.3868238385766745,50.82091759890318,
2025.12.15_17.11.24,4.386965073645115,50.82079606130719,
2025.12.15_17.11.27,4.387003965675831,50.82076169550419,
2025.12.15_17.11.29,4.3870302848517895,50.820731185376644,
2025.12.15_17.11.30,4.387040929868817,50.82071727141738,
2025.12.15_17.11.36,4.387106224894524,50.8206351287663,
2025.12.15_17.11.43,4.387140925973654,50.82052817568183,
2025.12.15_17.11.51,4.387182332575321,50.82047897391021,
2025.12.15_17.12.00,4.387184176594019,50.820470759645104,
2025.12.15_17.12.09,4.387228097766638,50.8203777205199,
2025.12.15_17.12.16,4.3872991763055325,50.820288956165314,
2025.12.15_17.12.23,4.387407889589667,50.82020178437233,
2025.12.15_17.12.26,4.387405542656779,50.82014897838235,
2025.12.15_17.12.35,4.387499084696174,50.82005359232426,
2025.12.15_17.12.42,4.387720869854093,50.820138584822416,
2025.12.15_17.12.50,4.387897728011012,50.82020781934261,
2025.12.15_17.13.00,4.388099228963256,50.82030303776264,
2025.12.15_17.13.08,4.388265190646052,50.820356849581,
2025.12.15_17.13.09,4.388283295556903,50.82036808133125,
2025.12.15_17.13.12,4.388345656916499,50.82039448432624,
2025.12.15_17.13.18,4.388461746275425,50.82044863142073,
2025.12.15_17.13.26,4.38861982896924,50.82052046433091,
2025.12.15_17.13.35,4.388792496174574,50.82059908658266,
2025.12.15_17.13.37,4.388830969110131,50.82061576656997,
2025.12.15_17.13.39,4.388864077627659,50.8206385653466,
2025.12.15_17.13.43,4.38892618753016,50.82068357616663,
2025.12.15_17.13.48,4.389009922742844,50.82075599581003,
2025.12.15_17.13.49,4.389028195291758,50.82076773047447,
2025.12.15_17.13.56,4.389150319620967,50.82085012458265,
2025.12.15_17.14.03,4.389243694022298,50.820937883108854,
2025.12.15_17.14.10,4.389307647943497,50.82102664746344,
2025.12.15_17.14.18,4.389424994587898,50.821107449010015,
2025.12.15_17.14.20,4.389455085620284,50.82113175652921,
2025.12.15_17.14.23,4.389516189694405,50.82111155614257,
2025.12.15_17.14.32,4.3896387331187725,50.821040561422706,
2025.12.15_17.14.38,4.389716098085046,50.82098197191954,
2025.12.15_17.14.44,4.38983453437686,50.82093235105276,
2025.12.15_17.14.49,4.389939894899726,50.820891447365284,
2025.12.15_17.14.58,4.390134941786528,50.820815255865455,
2025.12.15_17.15.07,4.390314733609557,50.82068064250052,
2025.12.15_17.15.13,4.390425123274326,50.82058768719435,
2025.12.15_17.15.18,4.390496872365475,50.82052934914827,
2025.12.15_17.15.25,4.390570046380162,50.820461036637425,
2025.12.15_17.15.35,4.39066668972373,50.8203362300992,
