timestamp,gps_longitude,gps_latitude,gps_accuracy_m
2025.12.14_13.37.58,5.3432118985801935,50.210379185155034,
2025.12.14_13.37.59,5.343212317675352,50.210379771888256,
2025.12.14_13.38.07,5.343340141698718,50.21032369695604,
2025.12.14_13.38.08,5.343356989324093,50.21031154319644,
2025.12.14_13.38.17,5.343482382595539,50.21020945161581,
2025.12.14_13.38.26,5.3435794450342655,50.21010534837842,
2025.12.14_13.38.36,5.343671143054962,50.20999965257943,
2025.12.14_13.38.44,5.343744149431586,50.209919856861234,
2025.12.14_13.38.53,5.343818664550781,50.20981315523386,
2025.12.14_13.39.04,5.3439596481621265,50.209673680365086,
2025.12.14_13.39.13,5.344030978158116,50.209571085870266,
2025.12.14_13.39.19,5.344078419730067,50.20950595848262,
2025.12.14_13.39.29,5.344131141901016,50.20937712863088,
2025.12.14_13.39.40,5.344150336459279,50.20921066403389,
2025.12.14_13.39.51,5.344131896272302,50.2090529166162,
2025.12.14_13.40.04,5.344029050320387,50.20888527855277,
2025.12.14_13.40.14,5.343933245167136,50.208774050697684,
2025.12.14_13.40.16,5.343909272924066,50.208750162273645,
2025.12.14_13.40.23,5.343851018697023,50.20865737460554,
2025.12.14_13.40.25,5.343831656500697,50.20863315090537,
2025.12.14_13.40.39,5.34370131790638,50.20845956169069,
2025.12.14_13.40.40,5.343692097812891,50.208447659388185,
2025.12.14_13.40.47,5.343620181083679,50.20836275070906,
2025.12.14_13.40.50,5.343587324023247,50.208327546715736,
2025.12.14_13.40.51,5.34357282333076,50.208318745717406,
2025.12.14_13.40.52,5.34356159158051,50.20830575376749,
2025.12.14_13.41.03,5.343462433665991,50.20818304270506,
2025.12.14_13.41.16,5.343428989872336,50.208007944747806,
2025.12.14_13.41.30,5.343392780050635,50.20781968720257,
2025.12.14_13.41.31,5.343387583270669,50.20780594088137,
2025.12.14_13.41.40,5.343480370938778,50.20769454538822,
2025.12.14_13.41.43,5.34349805675447,50.207656072452664,
2025.12.14_13.41.45,5.343493530526757,50.20765154622495,
2025.12.14_13.41.46,5.343471486121416,50.207652132958174,
2025.12.14_13.41.56,5.343240732327104,50.20766856148839,
2025.12.14_13.41.57,5.343221286311746,50.207673255354166,
2025.12.14_13.42.07,5.342994052916765,50.2077113930136,
2025.12.14_13.42.15,5.342804621905088,50.20772195421159,
2025.12.14_13.42.16,5.34278123639524,50.20772187039256,
2025.12.14_13.42.23,5.342642767354846,50.20767459645867,
2025.12.14_13.42.29,5.342536484822631,50.20763059146702,
2025.12.14_13.42.40,5.342331966385245,50.207531433552504,
2025.12.14_13.42.47,5.342193329706788,50.20747452042997,
2025.12.14_13.42.52,5.342102721333504,50.20743847824633,
2025.12.14_13.43.00,5.341962743550539,50.20737309940159,
2025.12.14_13.43.12,5.341752860695124,50.207271594554186,
2025.12.14_13.43.20,5.3416224382817745,50.207201689481735,
2025.12.14_13.43.21,5.341604081913829,50.20719598978758,
2025.12.14_13.43.22,5.341584887355566,50.20719054155052,
2025.12.14_13.43.33,5.34135639667511,50.20714192651212,
2025.12.14_13.43.41,5.341216837987304,50.207080487161875,
2025.12.14_13.43.46,5.341128325089812,50.207044780254364,
2025.12.14_13.43.59,5.340887093916535,50.20696498453617,
2025.12.14_13.44.10,5.340653238818049,50.206929529085755,
2025.12.14_13.44.19,5.340458694845438,50.20691595040262,
2025.12.14_13.44.28,5.340280327945948,50.206913352012634,
2025.12.14_13.44.30,5.340282088145614,50.20691301673651,
2025.12.14_13.44.32,5.340286446735263,50.20691184327006,
2025.12.14_13.44.36,5.340288374572992,50.20691276527941,
2025.12.14_13.44.44,5.340154264122248,50.20690446719527,
2025.12.14_13.44.46,5.340108750388026,50.206904048100114,
2025.12.14_13.44.49,5.3400415275245905,50.206900695338845,
2025.12.14_13.44.58,5.339852767065167,50.206879237666726,
2025.12.14_13.44.59,5.339832985773683,50.20687596872449,
2025.12.14_13.45.11,5.33959929831326,50.20681444555521,
2025.12.14_13.45.19,5.3394451551139355,50.206785863265395,
2025.12.14_13.45.20,5.339429564774036,50.20679743029177,
2025.12.14_13.45.29,5.339336274191737,50.20692433230579,
2025.12.14_13.45.41,5.3391733299940825,50.20707981660962,
2025.12.14_13.45.42,5.339162852615118,50.2070929761976,
2025.12.14_13.45.51,5.3390622697770596,50.207214429974556,
2025.12.14_13.46.00,5.338930170983076,50.20732884295285,
2025.12.14_13.46.11,5.3387789614498615,50.20746815018356,
2025.12.14_13.46.14,5.33876764588058,50.207477286458015,
2025.12.14_13.46.17,5.338748786598444,50.2074901945889,
2025.12.14_13.46.28,5.338603276759386,50.207619443535805,
2025.12.14_13.46.38,5.3384720999747515,50.20773779600859,
2025.12.14_13.46.44,5.338386185467243,50.20780149847269,
2025.12.14_13.46.55,5.3382388316094875,50.20792756229639,
2025.12.14_13.46.56,5.3382279351353645,50.20793929696083,
2025.12.14_13.47.01,5.3381681721657515,50.20799528807402,
2025.12.14_13.47.05,5.338121233507991,50.208042059093714,
2025.12.14_13.47.11,5.338052920997143,50.20811238326132,
2025.12.14_13.47.21,5.337934149429202,50.20821724087,
2025.12.14_13.47.30,5.337826777249575,50.208321595564485,
2025.12.14_13.47.34,5.337772378697991,50.208364175632596,
2025.12.14_13.47.35,5.337759722024202,50.20837415009737,
2025.12.14_13.47.42,5.337645141407847,50.2084487490356,
2025.12.14_13.47.51,5.337505834177136,50.20854237489402,
2025.12.14_13.48.00,5.337355798110366,50.20862719975412,
2025.12.14_13.48.10,5.337193524464965,50.20871235989034,
