timestamp,gps_longitude,gps_latitude,gps_accuracy_m
2025.12.17_16.29.06,4.621934546157718,50.66852764226496,
2025.12.17_16.29.07,4.62194737046957,50.66852814517915,
2025.12.17_16.29.13,4.622076954692602,50.668529234826565,
2025.12.17_16.29.15,4.6221204567700624,50.66852806136012,
2025.12.17_16.29.20,4.622223051264882,50.66853811964393,
2025.12.17_16.29.21,4.622240988537669,50.668542897328734,
2025.12.17_16.29.22,4.6222582552582026,50.66854608245194,
2025.12.17_16.29.24,4.622303517535329,50.66854935139418,
2025.12.17_16.29.28,4.622367974370718,50.66855438053608,
2025.12.17_16.29.32,4.622458666563034,50.668577598407865,
2025.12.17_16.29.38,4.622580958530307,50.6685845553875,
2025.12.17_16.29.39,4.622597470879555,50.66858069971204,
2025.12.17_16.29.45,4.622716996818781,50.66857139579952,
2025.12.17_16.29.46,4.6227384544909,50.66856326535344,
2025.12.17_16.29.47,4.622761756181717,50.6685549672693,
2025.12.17_16.29.48,4.6227816212922335,50.66855354234576,
2025.12.17_16.29.49,4.622803078964353,50.66855547018349,
2025.12.17_16.29.56,4.6229662746191025,50.66857114434242,
2025.12.17_16.30.02,4.62308881804347,50.66857935860753,
2025.12.17_16.30.04,4.62313667871058,50.66857835277915,
2025.12.17_16.30.10,4.62326274253428,50.66854675300419,
2025.12.17_16.30.11,4.623283194378018,50.66854616627097,
2025.12.17_16.30.13,4.6233287919312716,50.668553123250604,
2025.12.17_16.30.16,4.623391488566995,50.668544322252274,
2025.12.17_16.30.17,4.623415460810065,50.66854767501354,
2025.12.17_16.30.21,4.623501542955637,50.66854164004326,
2025.12.17_16.30.32,4.6237140242010355,50.668507693335414,
2025.12.17_16.30.38,4.623830867931247,50.6685137283057,
2025.12.17_16.30.41,4.623894318938255,50.668515991419554,
2025.12.17_16.30.47,4.623961038887501,50.668464191257954,
2025.12.17_16.30.55,4.623980736359954,50.66836059093475,
2025.12.17_16.31.05,4.623994147405028,50.66822849214077,
2025.12.17_16.31.14,4.624012922868133,50.66812438890338,
2025.12.17_16.31.22,4.624032285064459,50.66799698397517,
2025.12.17_16.31.32,4.624028597027063,50.667857341468334,
2025.12.17_16.31.38,4.624026250094175,50.66784577444196,
2025.12.17_16.31.42,4.624026753008366,50.66784585826099,
2025.12.17_16.31.51,4.623871520161629,50.667876452207565,
2025.12.17_16.31.52,4.623847883194685,50.66787536256015,
2025.12.17_16.31.59,4.623685861006379,50.66786999814212,
2025.12.17_16.32.00,4.623661637306213,50.66786983050406,
2025.12.17_16.32.06,4.623535992577672,50.667865723371506,
2025.12.17_16.32.15,4.623332563787699,50.667856419458985,
2025.12.17_16.32.23,4.623169116675854,50.66786547191441,
2025.12.17_16.32.31,4.622992593795061,50.66788583993912,
2025.12.17_16.32.39,4.622819842770696,50.66788885742426,
2025.12.17_16.32.47,4.622658658772707,50.66785524599254,
2025.12.17_16.32.48,4.622634183615446,50.66785608418286,
2025.12.17_16.32.53,4.622532092034817,50.667881816625595,
2025.12.17_16.32.55,4.622505437582731,50.667894557118416,
2025.12.17_16.32.59,4.622425893321633,50.66791869699955,
2025.12.17_16.33.08,4.622249286621809,50.66796379163861,
2025.12.17_16.33.11,4.622198157012463,50.667977537959814,
2025.12.17_16.33.14,4.622114337980747,50.66799069754779,
2025.12.17_16.33.22,4.621907472610474,50.668011819943786,
2025.12.17_16.33.30,4.621716197580099,50.6680250633508,
2025.12.17_16.33.32,4.621685352176428,50.668032355606556,
2025.12.17_16.33.35,4.62164394557476,50.66804392263293,
2025.12.17_16.33.42,4.62152324616909,50.66806035116315,
2025.12.17_16.33.43,4.621492652222514,50.66805557347834,
2025.12.17_16.33.52,4.621268017217517,50.66801299341023,
2025.12.17_16.34.00,4.621086297556758,50.668005365878344,
2025.12.17_16.34.02,4.621052434667945,50.66801995038986,
2025.12.17_16.34.04,4.621021253988147,50.66803595982492,
2025.12.17_16.34.09,4.6209594793617725,50.6680818926543,
2025.12.17_16.34.18,4.620768371969461,50.66814349964261,
2025.12.17_16.34.23,4.6206779312342405,50.66817241720855,
2025.12.17_16.34.25,4.62063442915678,50.66818985156715,
2025.12.17_16.34.27,4.620592938736081,50.66820125095546,
