timestamp,gps_longitude,gps_latitude,gps_accuracy_m,base_name
2025.12.12_12.44.15,4.621878,50.668519,3,lln_1
2025.12.12_12.44.15,4.621898,50.668513,3,lln_1
2025.12.12_12.44.27,4.622039,50.668512,3,lln_1
2025.12.12_12.44.35,4.622187,50.668529,3,lln_1
2025.12.12_12.44.42,4.622333,50.668542,3,lln_1
2025.12.12_12.44.49,4.622484,50.668552,3,lln_1
2025.12.12_12.44.56,4.622629,50.668562,3,lln_1
2025.12.12_12.45.03,4.622775,50.668562,3,lln_1
2025.12.12_12.45.10,4.622927,50.668562,3,lln_1
2025.12.12_12.45.16,4.623078,50.66856,3,lln_1
2025.12.12_12.45.22,4.62323,50.668556,3,lln_1
2025.12.12_12.45.29,4.62336,50.668512,3,lln_1
2025.12.12_12.45.37,4.623511,50.668543,3,lln_1
2025.12.12_12.45.46,4.623668,50.668555,3,lln_1
2025.12.12_12.45.54,4.623829,50.668563,3,lln_1
2025.12.12_12.46.01,4.623973,50.668533,3,lln_1
2025.12.12_12.46.07,4.623995,50.668434,3,lln_1
2025.12.12_12.46.13,4.624001,50.668336,3,lln_1
2025.12.12_12.46.19,4.623989,50.668245,3,lln_1
2025.12.12_12.46.26,4.623962,50.668146,3,lln_1
2025.12.12_12.46.33,4.623958,50.668056,3,lln_1
2025.12.12_12.46.41,4.623959,50.667954,3,lln_1
2025.12.12_12.46.55,4.623965,50.667861,3,lln_1
2025.12.12_12.47.06,4.624017,50.667771,3,lln_1
2025.12.12_12.47.19,4.623905,50.667839,3,lln_1
2025.12.12_12.47.27,4.623761,50.667844,3,lln_1
2025.12.12_12.47.34,4.623609,50.667846,3,lln_1
2025.12.12_12.47.41,4.623444,50.667848,3,lln_1
2025.12.12_12.47.47,4.623297,50.667852,3,lln_1
2025.12.12_12.47.53,4.623158,50.667876,3,lln_1
2025.12.12_12.47.59,4.623016,50.667906,3,lln_1
2025.12.12_12.48.05,4.622869,50.667915,3,lln_1
2025.12.12_12.48.12,4.62271,50.667905,3,lln_1
2025.12.12_12.48.19,4.622558,50.667877,3,lln_1
2025.12.12_12.48.27,4.62243,50.667921,3,lln_1
2025.12.12_12.48.35,4.622288,50.667938,3,lln_1
2025.12.12_12.48.41,4.622166,50.667987,3,lln_1
2025.12.12_12.48.48,4.622027,50.668026,3,lln_1
2025.12.12_12.48.55,4.621875,50.668048,3,lln_1
2025.12.12_12.49.01,4.621734,50.668037,3,lln_1
2025.12.12_12.49.07,4.621591,50.668044,3,lln_1
2025.12.12_12.49.12,4.621449,50.668061,3,lln_1
2025.12.12_12.49.18,4.621309,50.66804,3,lln_1
2025.12.12_12.49.24,4.621162,50.668029,3,lln_1
2025.12.12_12.49.31,4.621013,50.668045,3,lln_1
2025.12.12_12.49.39,4.62089,50.668109,3,lln_1
2025.12.12_12.49.47,4.620752,50.668158,3,lln_1
2025.12.12_12.49.53,4.620616,50.668191,3,lln_1
2025.12.12_12.49.59,4.620475,50.668208,3,lln_1
2025.12.12_12.50.06,4.620319,50.668175,3,lln_1
2025.12.12_12.50.12,4.620187,50.668142,3,lln_1
2025.12.12_12.50.19,4.620048,50.668117,3,lln_1
2025.12.12_12.50.27,4.619899,50.668087,3,lln_1
2025.12.12_12.50.34,4.619754,50.668061,3,lln_1
2025.12.12_12.50.42,4.619595,50.668062,3,lln_1
2025.12.12_12.50.49,4.619439,50.668047,3,lln_1
2025.12.12_12.50.55,4.619296,50.668053,3,lln_1
2025.12.12_12.51.01,4.619152,50.668065,3,lln_1
2025.12.12_12.51.08,4.619025,50.668107,3,lln_1
2025.12.12_12.51.16,4.61887,50.668109,3,lln_1
2025.12.12_12.51.23,4.618729,50.668095,3,lln_1
2025.12.12_12.51.31,4.618584,50.668095,3,lln_1
2025.12.12_12.51.48,4.618445,50.668071,3,lln_1
2025.12.12_12.51.55,4.618308,50.668111,3,lln_1
2025.12.12_12.52.02,4.618147,50.66812,3,lln_1
2025.12.12_12.52.08,4.618006,50.668106,3,lln_1
2025.12.12_12.52.14,4.617856,50.668102,3,lln_1
2025.12.12_12.53.52,4.616601,50.668617,6,lln_1
2025.12.12_12.53.59,4.61662,50.668719,3,lln_1
2025.12.12_12.54.05,4.616575,50.668819,3,lln_1
2025.12.12_12.54.10,4.616554,50.668911,3,lln_1
2025.12.12_12.54.16,4.616507,50.668999,3,lln_1
2025.12.12_12.54.24,4.616399,50.669068,3,lln_1
2025.12.12_12.54.32,4.616289,50.669127,3,lln_1
2025.12.12_12.54.41,4.616178,50.669193,3,lln_1
2025.12.12_12.54.43,4.616178,50.669193,3,lln_1
