timestamp,gps_longitude,gps_latitude,gps_accuracy_m,base_name
2025.12.19_15.52.32,4.62202,50.668493,6,lln_5
2025.12.19_15.52.32,4.621991,50.668524,3,lln_5
2025.12.19_15.52.33,4.621991,50.668524,3,lln_5
2025.12.19_15.52.36,4.621991,50.668524,3,lln_5
2025.12.19_15.52.39,4.621991,50.668524,3,lln_5
2025.12.19_15.52.42,4.622134,50.668501,3,lln_5
2025.12.19_15.52.45,4.622134,50.668501,3,lln_5
2025.12.19_15.52.52,4.622134,50.668501,3,lln_5
2025.12.19_15.52.52,4.622275,50.668511,3,lln_5
2025.12.19_15.52.59,4.622275,50.668511,3,lln_5
2025.12.19_15.53.00,4.62242,50.668496,3,lln_5
2025.12.19_15.53.05,4.62242,50.668496,3,lln_5
2025.12.19_15.53.08,4.622567,50.668502,3,lln_5
2025.12.19_15.53.09,4.622567,50.668502,3,lln_5
2025.12.19_15.53.16,4.622717,50.668508,3,lln_5
2025.12.19_15.53.22,4.62286,50.668518,3,lln_5
2025.12.19_15.53.28,4.623012,50.668528,3,lln_5
2025.12.19_15.53.34,4.623155,50.668525,3,lln_5
2025.12.19_15.53.41,4.623312,50.668509,3,lln_5
2025.12.19_15.53.49,4.623467,50.668504,3,lln_5
2025.12.19_15.53.57,4.623623,50.668502,3,lln_5
2025.12.19_15.54.04,4.623768,50.668506,3,lln_5
2025.12.19_15.54.11,4.623919,50.668504,3,lln_5
2025.12.19_15.54.19,4.623987,50.668416,3,lln_5
2025.12.19_15.54.27,4.623978,50.668314,3,lln_5
2025.12.19_15.54.34,4.62397,50.66822,3,lln_5
2025.12.19_15.54.41,4.623963,50.668121,3,lln_5
2025.12.19_15.54.48,4.623993,50.668024,3,lln_5
2025.12.19_15.54.55,4.623997,50.667924,3,lln_5
2025.12.19_15.55.11,4.62385,50.667896,3,lln_5
2025.12.19_15.55.18,4.623695,50.667886,3,lln_5
2025.12.19_15.55.25,4.623539,50.667865,3,lln_5
2025.12.19_15.55.30,4.623397,50.667858,3,lln_5
2025.12.19_15.55.36,4.623231,50.667865,3,lln_5
2025.12.19_15.55.43,4.623086,50.667876,3,lln_5
2025.12.19_15.55.50,4.622944,50.66789,3,lln_5
2025.12.19_15.55.58,4.622792,50.667901,3,lln_5
2025.12.19_15.56.05,4.622653,50.667874,3,lln_5
2025.12.19_15.56.11,4.622517,50.667909,3,lln_5
2025.12.19_15.56.17,4.622389,50.66796,3,lln_5
2025.12.19_15.56.24,4.622265,50.668007,3,lln_5
2025.12.19_15.56.32,4.622158,50.668076,3,lln_5
2025.12.19_15.56.38,4.622005,50.668092,3,lln_5
2025.12.19_15.56.44,4.621847,50.668075,3,lln_5
2025.12.19_15.56.50,4.621691,50.668064,3,lln_5
2025.12.19_15.56.57,4.621532,50.668055,3,lln_5
2025.12.19_15.57.04,4.621382,50.668032,3,lln_5
2025.12.19_15.57.10,4.621233,50.668035,3,lln_5
2025.12.19_15.57.17,4.621088,50.668048,3,lln_5
2025.12.19_15.57.25,4.620954,50.668094,3,lln_5
2025.12.19_15.57.33,4.620842,50.668163,3,lln_5
2025.12.19_15.57.40,4.620697,50.668202,3,lln_5
2025.12.19_15.57.46,4.620549,50.668167,3,lln_5
2025.12.19_15.57.52,4.620433,50.668106,4,lln_5
2025.12.19_15.57.58,4.62029,50.6681,3,lln_5
2025.12.19_15.58.04,4.620144,50.668111,3,lln_5
2025.12.19_15.58.10,4.62,50.668119,3,lln_5
2025.12.19_15.58.16,4.619854,50.668111,3,lln_5
2025.12.19_15.58.23,4.619699,50.66809,3,lln_5
2025.12.19_15.58.30,4.619548,50.668078,3,lln_5
2025.12.19_15.58.37,4.619389,50.668077,3,lln_5
2025.12.19_15.58.44,4.619235,50.668097,3,lln_5
2025.12.19_15.58.51,4.619081,50.668115,3,lln_5
2025.12.19_15.58.57,4.618926,50.668114,3,lln_5
2025.12.19_15.59.03,4.618777,50.668103,3,lln_5
2025.12.19_15.59.10,4.618627,50.668105,3,lln_5
2025.12.19_16.01.14,4.616723,50.668757,3,lln_5
2025.12.19_16.01.22,4.616603,50.668807,3,lln_5
2025.12.19_16.01.30,4.616596,50.668911,3,lln_5
2025.12.19_16.01.35,4.616571,50.669003,3,lln_5
2025.12.19_16.01.41,4.61645,50.669066,3,lln_5
2025.12.19_16.01.47,4.616351,50.669131,3,lln_5
2025.12.19_16.01.53,4.616261,50.669202,3,lln_5
2025.12.19_16.01.59,4.616261,50.669202,3,lln_5
