timestamp,gps_longitude,gps_latitude,gps_accuracy_m,base_name
2025.12.23_15.14.03,4.62202,50.668512,4,lln_2
2025.12.23_15.14.04,4.621959,50.668528,3,lln_2
2025.12.23_15.14.08,4.621959,50.668528,3,lln_2
2025.12.23_15.14.12,4.62211,50.66853,3,lln_2
2025.12.23_15.14.14,4.62211,50.66853,3,lln_2
2025.12.23_15.14.16,4.62211,50.66853,3,lln_2
2025.12.23_15.14.20,4.622269,50.668544,3,lln_2
2025.12.23_15.14.21,4.622269,50.668544,3,lln_2
2025.12.23_15.14.27,4.622414,50.668557,3,lln_2
2025.12.23_15.14.34,4.622572,50.668567,3,lln_2
2025.12.23_15.14.40,4.622719,50.668587,3,lln_2
2025.12.23_15.14.46,4.622862,50.668604,3,lln_2
2025.12.23_15.14.52,4.623015,50.668598,3,lln_2
2025.12.23_15.14.58,4.623158,50.668596,3,lln_2
2025.12.23_15.15.05,4.623315,50.668588,3,lln_2
2025.12.23_15.15.12,4.623475,50.668579,3,lln_2
2025.12.23_15.15.18,4.623619,50.668571,3,lln_2
2025.12.23_15.15.24,4.623762,50.668552,3,lln_2
2025.12.23_15.15.31,4.623918,50.668537,3,lln_2
2025.12.23_15.15.38,4.624004,50.668464,3,lln_2
2025.12.23_15.15.45,4.624055,50.668377,3,lln_2
2025.12.23_15.15.52,4.624061,50.668271,3,lln_2
2025.12.23_15.15.57,4.624041,50.668179,3,lln_2
2025.12.23_15.16.02,4.624017,50.668086,3,lln_2
2025.12.23_15.16.07,4.624024,50.667993,3,lln_2
2025.12.23_15.16.13,4.623989,50.667891,3,lln_2
2025.12.23_15.16.29,4.62385,50.667864,3,lln_2
2025.12.23_15.16.37,4.623689,50.66786,3,lln_2
2025.12.23_15.16.43,4.623528,50.667855,3,lln_2
2025.12.23_15.16.49,4.62336,50.667868,3,lln_2
2025.12.23_15.16.55,4.623205,50.667866,3,lln_2
2025.12.23_15.17.01,4.623063,50.667877,3,lln_2
2025.12.23_15.17.08,4.622909,50.667901,3,lln_2
2025.12.23_15.17.15,4.622751,50.667866,3,lln_2
2025.12.23_15.17.21,4.622584,50.667849,3,lln_2
2025.12.23_15.17.27,4.622446,50.667896,3,lln_2
2025.12.23_15.17.34,4.622307,50.667938,3,lln_2
2025.12.23_15.17.41,4.622169,50.667986,3,lln_2
2025.12.23_15.17.47,4.622025,50.668008,3,lln_2
2025.12.23_15.17.53,4.621885,50.668047,3,lln_2
2025.12.23_15.17.59,4.621733,50.668058,3,lln_2
2025.12.23_15.18.06,4.621575,50.668047,3,lln_2
2025.12.23_15.18.13,4.621431,50.668078,3,lln_2
2025.12.23_15.18.19,4.621275,50.668077,3,lln_2
2025.12.23_15.18.25,4.621116,50.668068,3,lln_2
2025.12.23_15.18.33,4.620965,50.668087,3,lln_2
2025.12.23_15.18.40,4.620936,50.668187,3,lln_2
2025.12.23_15.18.45,4.620842,50.668255,3,lln_2
2025.12.23_15.18.50,4.620682,50.668274,3,lln_2
2025.12.23_15.18.55,4.62053,50.668222,3,lln_2
2025.12.23_15.19.00,4.620408,50.668168,3,lln_2
2025.12.23_15.19.06,4.620273,50.668133,3,lln_2
2025.12.23_15.19.12,4.620118,50.668134,3,lln_2
2025.12.23_15.19.19,4.619955,50.668139,3,lln_2
2025.12.23_15.19.26,4.619796,50.668114,3,lln_2
2025.12.23_15.19.32,4.619658,50.668094,3,lln_2
2025.12.23_15.19.39,4.619512,50.668074,3,lln_2
2025.12.23_15.19.46,4.619352,50.668083,3,lln_2
2025.12.23_15.19.53,4.619205,50.668116,3,lln_2
2025.12.23_15.20.00,4.619056,50.668123,3,lln_2
2025.12.23_15.20.07,4.618907,50.668106,3,lln_2
2025.12.23_15.20.13,4.618763,50.668112,3,lln_2
2025.12.23_15.22.22,4.616697,50.668758,3,lln_2
2025.12.23_15.22.29,4.616624,50.668843,4,lln_2
2025.12.23_15.22.37,4.616631,50.668934,3,lln_2
2025.12.23_15.22.45,4.616541,50.669017,3,lln_2
2025.12.23_15.22.52,4.616447,50.669095,3,lln_2
2025.12.23_15.22.59,4.616352,50.669176,3,lln_2
2025.12.23_15.23.06,4.616226,50.669233,3,lln_2
2025.12.23_15.23.07,4.616226,50.669233,3,lln_2
