Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test_Status,DataConnection_Type,DataConnection_Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,INFO,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,
2025.12.24_11.32.04,5.343212,50.210301,0,Proximus,20604,206040421000121,,404118,121,4210,4G,LTE,-95,-10,1.0,-,-71,1300,81,44,115,326,326,7,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.69.220.47,4,LOG START,,,,6,79,62A96,1072,103454329,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L3,20,,,4G,,,,115,6300,-85,-7,,,4G,,,,114,1300,-107,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.24_11.32.04,5.343221,50.210332,0,Proximus,20604,206040421000121,,404118,121,4210,4G,LTE,-95,-10,1.0,-,-71,1300,81,44,115,330,330,3,G,D,,,,,,,,,,,M,13,1,,,-1,1000,100.69.220.47,4,,,,,7,79,62A96,1072,103454329,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L3,20,,,4G,,,,115,6300,-85,-7,,,4G,,,,114,1300,-107,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.24_11.32.09,5.343221,50.210332,0,Proximus,20604,206040421000121,,404118,121,4210,4G,LTE,-94,-12,1.0,-,-59,1300,0,0,115,330,330,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.69.220.47,4,PERIODIC,,,,12,79,62A96,1072,103454329,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L3,20,,,4G,,,,115,6300,-88,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.24_11.32.12,5.343351,50.210276,4,Proximus,20604,206040421000121,,404118,121,4210,4G,LTE,-95,-11,1.0,-,-59,1300,0,0,115,330,330,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.69.220.47,4,,,,,15,79,62A96,1072,103454329,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L3,20,,,4G,,,,115,6300,-80,-7,,,4G,,,,298,6300,-93,-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.24_11.32.15,5.343351,50.210276,4,Proximus,20604,206040421000121,,404118,121,4210,4G,LTE,-92,-12,1.0,-,-59,1300,0,0,115,330,330,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.69.220.47,4,PERIODIC,,,,18,79,62A96,1072,103454329,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L3,20,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,61,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,62,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,63,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,64,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,65,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,66,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,67,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,68,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.24_11.32.19,5.343443,50.210194,5,Proximus,20604,206040421000121,,404118,121,4210,4G,LTE,-92,-10,1.0,-,-59,1300,0,0,115,331,331,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.69.220.47,4,,,,,21,79,62A96,1072,103454329,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L3,20,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,61,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,62,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,63,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,64,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,65,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,66,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,67,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,68,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.24_11.32.22,5.343443,50.210194,5,Proximus,20604,206040421000121,,404118,121,4210,4G,LTE,-92,-10,1.0,-,-59,1300,0,0,115,331,331,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.69.220.47,4,PERIODIC,,,,24,79,62A96,1072,103454329,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L3,20,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,61,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,62,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,63,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,64,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,65,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,66,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,67,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,68,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.24_11.32.26,5.343523,50.210106,5,Proximus,20604,206040421000121,,404118,121,4210,4G,LTE,-91,-10,1.0,-,-59,1300,0,0,115,331,331,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.69.220.47,4,,,,,27,79,62A96,1072,103454329,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L3,20,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,61,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,62,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,63,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,64,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,65,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,66,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,67,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,68,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.24_11.32.33,5.3436,50.210015,5,Proximus,20604,206040421000121,,404118,121,4210,4G,LTE,-91,-10,1.0,-,-59,1300,0,0,115,331,331,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.69.220.47,4,,,,,27,79,62A96,1072,103454329,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L3,20,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,61,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,62,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,63,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,64,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,65,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,66,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,67,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,68,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.12.24_11.32.40,5.343676,50.20993,5,Proximus,20604,206040421000121,,404118,121,4210,4G,LTE,-91,-10,1.0,-,-59,1300,0,0,115,332,332,3,G,I,,,,,,,,,,,M,13,1,,,-1,1000,100.69.220.47,4,,,,,27,79,62A96,1072,103454329,19.7,375,OnePlus:ONEPLUS A6013:BP1A.250505.005,L3,20,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,61,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,62,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,63,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,64,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,65,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,66,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,67,-113,,,,2G,,,,7fffffff mMcc=null mMnc=null mAlphaLong= mAlphaShort= mAdditionalPlmns={,68,-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
