timestamp,gps_longitude,gps_latitude,gps_accuracy_m,base_name
2025.12.15_18.07.54,4.389296,50.822193,5,ixelle_4
2025.12.15_18.07.54,4.389245,50.822157,3,ixelle_4
2025.12.15_18.07.55,4.389245,50.822157,3,ixelle_4
2025.12.15_18.08.01,4.389245,50.822157,3,ixelle_4
2025.12.15_18.08.02,4.389245,50.822157,3,ixelle_4
2025.12.15_18.08.05,4.389245,50.822157,3,ixelle_4
2025.12.15_18.08.06,4.389045,50.822112,4,ixelle_4
2025.12.15_18.08.11,4.389045,50.822112,4,ixelle_4
2025.12.15_18.08.12,4.388942,50.822049,3,ixelle_4
2025.12.15_18.08.17,4.388942,50.822049,3,ixelle_4
2025.12.15_18.08.19,4.388822,50.82199,3,ixelle_4
2025.12.15_18.08.24,4.388822,50.82199,3,ixelle_4
2025.12.15_18.08.30,4.388822,50.82199,3,ixelle_4
2025.12.15_18.08.37,4.388822,50.82199,3,ixelle_4
2025.12.15_18.09.11,4.388695,50.821928,3,ixelle_4
2025.12.15_18.09.17,4.388557,50.821884,3,ixelle_4
2025.12.15_18.09.23,4.388461,50.82181,3,ixelle_4
2025.12.15_18.09.29,4.388346,50.821736,3,ixelle_4
2025.12.15_18.09.36,4.388213,50.821673,3,ixelle_4
2025.12.15_18.09.42,4.388099,50.821619,3,ixelle_4
2025.12.15_18.09.48,4.387972,50.821574,3,ixelle_4
2025.12.15_18.09.55,4.387841,50.821512,3,ixelle_4
2025.12.15_18.10.01,4.387718,50.821466,3,ixelle_4
2025.12.15_18.10.15,4.387619,50.821395,3,ixelle_4
2025.12.15_18.10.24,4.387525,50.821318,3,ixelle_4
2025.12.15_18.10.31,4.387389,50.821284,3,ixelle_4
2025.12.15_18.10.39,4.387264,50.821235,3,ixelle_4
2025.12.15_18.10.53,4.387146,50.821184,3,ixelle_4
2025.12.15_18.10.59,4.387013,50.821128,3,ixelle_4
2025.12.15_18.11.08,4.387008,50.821032,3,ixelle_4
2025.12.15_18.11.15,4.38692,50.82095,3,ixelle_4
2025.12.15_18.11.21,4.386823,50.820873,3,ixelle_4
2025.12.15_18.11.28,4.386913,50.820786,3,ixelle_4
2025.12.15_18.11.32,4.387047,50.820708,3,ixelle_4
2025.12.15_18.15.45,4.390585,50.820122,4,ixelle_4
2025.12.15_18.15.49,4.390437,50.820107,4,ixelle_4
2025.12.15_18.15.54,4.390312,50.82006,3,ixelle_4
2025.12.15_18.16.00,4.390188,50.820014,3,ixelle_4
2025.12.15_18.16.06,4.390036,50.819998,3,ixelle_4
2025.12.15_18.16.12,4.389908,50.819945,3,ixelle_4
2025.12.15_18.16.18,4.389782,50.8199,3,ixelle_4
2025.12.15_18.16.24,4.389651,50.819857,3,ixelle_4
2025.12.15_18.16.30,4.389523,50.81981,3,ixelle_4
2025.12.15_18.16.37,4.389393,50.81975,3,ixelle_4
2025.12.15_18.16.44,4.389265,50.819692,3,ixelle_4
2025.12.15_18.16.53,4.389265,50.819692,3,ixelle_4
