timestamp,gps_longitude,gps_latitude,gps_accuracy_m,base_name
2025.12.09_08.27.15,4.389273,50.822232,3,ixelle_2
2025.12.09_08.27.16,4.389273,50.822228,3,ixelle_2
2025.12.09_08.27.24,4.389157,50.822165,3,ixelle_2
2025.12.09_08.27.30,4.389039,50.822103,3,ixelle_2
2025.12.09_08.27.36,4.388917,50.822037,3,ixelle_2
2025.12.09_08.28.46,4.388844,50.82196,3,ixelle_2
2025.12.09_08.29.19,4.388713,50.82191,3,ixelle_2
2025.12.09_08.29.27,4.388583,50.821851,3,ixelle_2
2025.12.09_08.29.34,4.388499,50.821766,3,ixelle_2
2025.12.09_08.29.41,4.388374,50.821701,3,ixelle_2
2025.12.09_08.29.48,4.388281,50.821618,3,ixelle_2
2025.12.09_08.29.54,4.38817,50.821557,3,ixelle_2
2025.12.09_08.30.00,4.388069,50.82149,3,ixelle_2
2025.12.09_08.30.21,4.38775,50.821431,3,ixelle_2
2025.12.09_08.30.29,4.387645,50.821361,3,ixelle_2
2025.12.09_08.30.36,4.387524,50.821305,3,ixelle_2
2025.12.09_08.30.41,4.3874,50.821261,3,ixelle_2
2025.12.09_08.30.47,4.387274,50.821218,3,ixelle_2
2025.12.09_08.30.54,4.387141,50.821157,3,ixelle_2
2025.12.09_08.31.01,4.387023,50.821091,3,ixelle_2
2025.12.09_08.31.08,4.386908,50.821019,3,ixelle_2
2025.12.09_08.33.29,4.387879,50.82029,8,ixelle_2
2025.12.09_08.33.31,4.387741,50.820198,7,ixelle_2
2025.12.09_08.37.08,4.390533,50.820205,6,ixelle_2
2025.12.09_08.37.13,4.39043,50.820139,4,ixelle_2
2025.12.09_08.37.20,4.39028,50.820101,3,ixelle_2
2025.12.09_08.37.27,4.390131,50.820066,3,ixelle_2
2025.12.09_08.37.34,4.390031,50.819997,3,ixelle_2
2025.12.09_08.37.41,4.389914,50.819942,3,ixelle_2
2025.12.09_08.37.47,4.389837,50.819859,5,ixelle_2
2025.12.09_08.37.55,4.389754,50.819775,4,ixelle_2
2025.12.09_08.38.02,4.389629,50.819721,3,ixelle_2
2025.12.09_08.38.09,4.389485,50.819677,3,ixelle_2
2025.12.09_08.38.23,4.389485,50.819677,3,ixelle_2
