timestamp,gps_longitude,gps_latitude,gps_accuracy_m,base_name
2025.12.08_08.24.01,4.389262,50.8222,3,ixelle_1
2025.12.08_08.24.02,4.389263,50.822215,3,ixelle_1
2025.12.08_08.24.12,4.389134,50.822153,3,ixelle_1
2025.12.08_08.24.17,4.389023,50.822093,3,ixelle_1
2025.12.08_08.24.22,4.388888,50.82203,3,ixelle_1
2025.12.08_08.24.56,4.388802,50.821958,3,ixelle_1
2025.12.08_08.25.04,4.388671,50.821916,3,ixelle_1
2025.12.08_08.25.10,4.388527,50.821862,3,ixelle_1
2025.12.08_08.25.17,4.388393,50.821814,3,ixelle_1
2025.12.08_08.25.31,4.388268,50.821764,3,ixelle_1
2025.12.08_08.25.40,4.388143,50.821718,3,ixelle_1
2025.12.08_08.25.47,4.388006,50.821662,3,ixelle_1
2025.12.08_08.25.53,4.387893,50.821606,3,ixelle_1
2025.12.08_08.26.06,4.387663,50.821499,3,ixelle_1
2025.12.08_08.26.12,4.387535,50.821442,3,ixelle_1
2025.12.08_08.26.19,4.387422,50.821379,3,ixelle_1
2025.12.08_08.26.25,4.387286,50.821323,3,ixelle_1
2025.12.08_08.26.31,4.387162,50.821274,3,ixelle_1
2025.12.08_08.26.37,4.387038,50.821223,3,ixelle_1
2025.12.08_08.26.43,4.386908,50.82117,3,ixelle_1
2025.12.08_08.26.49,4.386778,50.821115,3,ixelle_1
2025.12.08_08.26.56,4.386663,50.82105,3,ixelle_1
2025.12.08_08.27.02,4.386765,50.82097,3,ixelle_1
2025.12.08_08.27.08,4.386859,50.820883,3,ixelle_1
2025.12.08_08.27.14,4.386994,50.820818,3,ixelle_1
2025.12.08_08.27.20,4.387103,50.820751,3,ixelle_1
2025.12.08_08.27.27,4.38719,50.820664,3,ixelle_1
2025.12.08_08.27.34,4.387274,50.820581,3,ixelle_1
2025.12.08_08.27.50,4.387373,50.820514,3,ixelle_1
2025.12.08_08.27.56,4.387411,50.82042,3,ixelle_1
2025.12.08_08.28.03,4.387455,50.820324,3,ixelle_1
2025.12.08_08.28.09,4.387488,50.820232,3,ixelle_1
2025.12.08_08.28.15,4.387514,50.820139,3,ixelle_1
2025.12.08_08.32.47,4.390593,50.820151,5,ixelle_1
2025.12.08_08.32.53,4.390447,50.820146,3,ixelle_1
2025.12.08_08.33.00,4.390348,50.820075,3,ixelle_1
2025.12.08_08.33.06,4.390243,50.820011,3,ixelle_1
2025.12.08_08.33.12,4.390107,50.819956,3,ixelle_1
2025.12.08_08.33.19,4.389975,50.819904,3,ixelle_1
2025.12.08_08.33.26,4.38984,50.819862,3,ixelle_1
2025.12.08_08.33.32,4.389704,50.81983,3,ixelle_1
2025.12.08_08.33.39,4.389562,50.819797,3,ixelle_1
2025.12.08_08.33.46,4.38943,50.819759,3,ixelle_1
2025.12.08_08.33.53,4.389302,50.819714,3,ixelle_1
2025.12.08_08.34.07,4.389306,50.819607,3,ixelle_1
2025.12.08_08.34.07,4.389306,50.819607,3,ixelle_1
