timestamp,gps_longitude,gps_latitude,gps_accuracy_m,base_name
2025.12.16_08.23.40,4.389252,50.822172,3,ixelle_5
2025.12.16_08.23.41,4.389274,50.822202,3,ixelle_5
2025.12.16_08.23.45,4.389274,50.822202,3,ixelle_5
2025.12.16_08.23.48,4.389147,50.822148,3,ixelle_5
2025.12.16_08.23.52,4.389147,50.822148,3,ixelle_5
2025.12.16_08.23.54,4.389004,50.822093,3,ixelle_5
2025.12.16_08.23.58,4.388881,50.822036,3,ixelle_5
2025.12.16_08.23.58,4.388881,50.822036,3,ixelle_5
2025.12.16_08.24.02,4.388793,50.821965,3,ixelle_5
2025.12.16_08.24.05,4.388793,50.821965,3,ixelle_5
2025.12.16_08.24.07,4.388668,50.821907,3,ixelle_5
2025.12.16_08.24.07,4.388668,50.821907,3,ixelle_5
2025.12.16_08.24.12,4.388668,50.821907,3,ixelle_5
2025.12.16_08.24.14,4.388668,50.821907,3,ixelle_5
2025.12.16_08.24.14,4.388524,50.821866,3,ixelle_5
2025.12.16_08.24.19,4.388524,50.821866,3,ixelle_5
2025.12.16_08.24.22,4.388393,50.821805,3,ixelle_5
2025.12.16_08.24.29,4.388277,50.821741,3,ixelle_5
2025.12.16_08.24.36,4.388168,50.821674,3,ixelle_5
2025.12.16_08.24.42,4.38807,50.821608,3,ixelle_5
2025.12.16_08.24.49,4.387942,50.821546,3,ixelle_5
2025.12.16_08.24.56,4.387809,50.821505,3,ixelle_5
2025.12.16_08.25.09,4.38772,50.821431,3,ixelle_5
2025.12.16_08.25.15,4.387589,50.821386,3,ixelle_5
2025.12.16_08.25.22,4.387461,50.821339,3,ixelle_5
2025.12.16_08.25.30,4.387326,50.821288,3,ixelle_5
2025.12.16_08.25.37,4.387205,50.821224,3,ixelle_5
2025.12.16_08.25.43,4.387072,50.821178,3,ixelle_5
2025.12.16_08.25.49,4.386956,50.821118,3,ixelle_5
2025.12.16_08.25.55,4.386834,50.821062,3,ixelle_5
2025.12.16_08.26.02,4.386725,50.820988,3,ixelle_5
2025.12.16_08.26.11,4.386777,50.820904,3,ixelle_5
2025.12.16_08.26.17,4.386898,50.82084,3,ixelle_5
2025.12.16_08.26.24,4.386969,50.820745,3,ixelle_5
2025.12.16_08.26.31,4.387045,50.820663,3,ixelle_5
2025.12.16_08.26.50,4.387249,50.820519,3,ixelle_5
2025.12.16_08.30.58,4.390547,50.820106,4,ixelle_5
2025.12.16_08.31.02,4.3904,50.820095,5,ixelle_5
2025.12.16_08.31.09,4.390253,50.820055,6,ixelle_5
2025.12.16_08.31.16,4.390129,50.819988,5,ixelle_5
2025.12.16_08.31.22,4.38998,50.819952,4,ixelle_5
2025.12.16_08.31.28,4.389818,50.819941,4,ixelle_5
2025.12.16_08.31.35,4.389691,50.819898,3,ixelle_5
2025.12.16_08.31.43,4.389555,50.819845,3,ixelle_5
2025.12.16_08.31.50,4.389429,50.8198,3,ixelle_5
2025.12.16_08.31.58,4.389325,50.81973,3,ixelle_5
2025.12.16_08.32.07,4.389309,50.81964,3,ixelle_5
2025.12.16_08.32.08,4.389309,50.81964,3,ixelle_5
