timestamp,gps_longitude,gps_latitude,gps_accuracy_m,base_name
2025.12.14_14.37.55,5.343181,50.210323,3,waha_5
2025.12.14_14.37.56,5.343214,50.210373,3,waha_5
2025.12.14_14.37.57,5.343214,50.210373,3,waha_5
2025.12.14_14.38.03,5.343214,50.210373,3,waha_5
2025.12.14_14.38.05,5.343333,50.21032,3,waha_5
2025.12.14_14.38.10,5.343333,50.21032,3,waha_5
2025.12.14_14.38.12,5.34342,50.210249,3,waha_5
2025.12.14_14.38.16,5.34342,50.210249,3,waha_5
2025.12.14_14.38.19,5.343488,50.210164,3,waha_5
2025.12.14_14.38.23,5.343488,50.210164,3,waha_5
2025.12.14_14.38.26,5.343562,50.210086,3,waha_5
2025.12.14_14.38.30,5.343562,50.210086,3,waha_5
2025.12.14_14.38.33,5.343646,50.209998,3,waha_5
2025.12.14_14.38.40,5.343714,50.209913,3,waha_5
2025.12.14_14.38.47,5.343778,50.20983,3,waha_5
2025.12.14_14.38.55,5.343847,50.209747,3,waha_5
2025.12.14_14.39.03,5.343914,50.209666,3,waha_5
2025.12.14_14.39.11,5.343973,50.209577,3,waha_5
2025.12.14_14.39.18,5.344018,50.209489,3,waha_5
2025.12.14_14.39.25,5.344074,50.209396,3,waha_5
2025.12.14_14.39.32,5.344112,50.209305,3,waha_5
2025.12.14_14.39.39,5.344133,50.209209,3,waha_5
2025.12.14_14.39.46,5.344125,50.209108,3,waha_5
2025.12.14_14.39.53,5.344098,50.209014,3,waha_5
2025.12.14_14.40.00,5.344069,50.208923,3,waha_5
2025.12.14_14.40.07,5.34404,50.208832,3,waha_5
2025.12.14_14.40.14,5.343937,50.208761,3,waha_5
2025.12.14_14.40.21,5.343855,50.208683,3,waha_5
2025.12.14_14.40.28,5.343781,50.208605,3,waha_5
2025.12.14_14.40.34,5.343721,50.208522,3,waha_5
2025.12.14_14.40.41,5.343657,50.208428,3,waha_5
2025.12.14_14.40.47,5.343584,50.208349,3,waha_5
2025.12.14_14.40.54,5.343491,50.208277,3,waha_5
2025.12.14_14.41.01,5.343444,50.208182,3,waha_5
2025.12.14_14.41.08,5.343424,50.208083,3,waha_5
2025.12.14_14.41.15,5.343404,50.207991,3,waha_5
2025.12.14_14.41.23,5.343401,50.20789,3,waha_5
2025.12.14_14.41.29,5.343386,50.207799,3,waha_5
2025.12.14_14.41.45,5.343444,50.207659,3,waha_5
2025.12.14_14.41.51,5.343278,50.207681,3,waha_5
2025.12.14_14.41.58,5.343136,50.207699,3,waha_5
2025.12.14_14.42.04,5.342991,50.207722,3,waha_5
2025.12.14_14.42.10,5.342838,50.207739,3,waha_5
2025.12.14_14.42.17,5.342678,50.207725,3,waha_5
2025.12.14_14.42.29,5.342728,50.207636,3,waha_5
2025.12.14_14.42.35,5.342599,50.207574,3,waha_5
2025.12.14_14.42.38,5.342465,50.207545,3,waha_5
2025.12.14_14.42.41,5.342317,50.207514,3,waha_5
2025.12.14_14.42.45,5.342156,50.207479,3,waha_5
2025.12.14_14.42.52,5.342028,50.207423,3,waha_5
2025.12.14_14.42.59,5.3419,50.207359,3,waha_5
2025.12.14_14.43.06,5.341773,50.207301,3,waha_5
2025.12.14_14.43.13,5.341638,50.207247,3,waha_5
2025.12.14_14.43.20,5.341518,50.207197,3,waha_5
2025.12.14_14.43.27,5.341381,50.207172,3,waha_5
2025.12.14_14.43.34,5.341247,50.207129,3,waha_5
2025.12.14_14.43.41,5.341116,50.207073,3,waha_5
2025.12.14_14.43.49,5.340985,50.207021,3,waha_5
2025.12.14_14.43.57,5.340837,50.206982,3,waha_5
2025.12.14_14.44.04,5.340692,50.206958,3,waha_5
2025.12.14_14.46.15,5.338781,50.207513,3,waha_5
2025.12.14_14.46.21,5.338686,50.20759,3,waha_5
2025.12.14_14.46.27,5.338596,50.207665,3,waha_5
2025.12.14_14.46.33,5.338515,50.207741,3,waha_5
2025.12.14_14.46.40,5.338428,50.207829,3,waha_5
2025.12.14_14.46.47,5.338343,50.207916,3,waha_5
2025.12.14_14.46.54,5.338254,50.207998,3,waha_5
2025.12.14_14.47.01,5.338181,50.20808,3,waha_5
2025.12.14_14.47.08,5.338095,50.208162,3,waha_5
2025.12.14_14.47.15,5.338003,50.208234,3,waha_5
2025.12.14_14.47.22,5.337932,50.208313,3,waha_5
2025.12.14_14.47.29,5.337849,50.208388,3,waha_5
2025.12.14_14.47.36,5.337732,50.208458,3,waha_5
2025.12.14_14.47.43,5.337623,50.208535,3,waha_5
2025.12.14_14.47.50,5.337503,50.208604,3,waha_5
2025.12.14_14.47.57,5.337375,50.208668,3,waha_5
2025.12.14_14.48.03,5.337275,50.208732,3,waha_5
2025.12.14_14.48.10,5.337152,50.208785,3,waha_5
2025.12.14_14.48.17,5.337029,50.208838,3,waha_5
2025.12.14_14.48.24,5.336909,50.2089,3,waha_5
2025.12.14_14.48.31,5.33679,50.208951,3,waha_5
2025.12.14_14.48.33,5.33679,50.208951,3,waha_5
