timestamp,gps_longitude,gps_latitude,gps_accuracy_m,base_name
2025.12.24_11.32.04,5.343212,50.210301,7,waha_2
2025.12.24_11.32.04,5.343221,50.210332,3,waha_2
2025.12.24_11.32.09,5.343221,50.210332,3,waha_2
2025.12.24_11.32.12,5.343351,50.210276,3,waha_2
2025.12.24_11.32.15,5.343351,50.210276,3,waha_2
2025.12.24_11.32.19,5.343443,50.210194,3,waha_2
2025.12.24_11.32.22,5.343443,50.210194,3,waha_2
2025.12.24_11.32.26,5.343523,50.210106,3,waha_2
2025.12.24_11.32.33,5.3436,50.210015,3,waha_2
2025.12.24_11.32.40,5.343676,50.20993,3,waha_2
2025.12.24_11.32.47,5.343744,50.20985,3,waha_2
2025.12.24_11.32.55,5.343811,50.209757,3,waha_2
2025.12.24_11.33.02,5.343871,50.209675,3,waha_2
2025.12.24_11.33.10,5.343937,50.209589,3,waha_2
2025.12.24_11.33.18,5.343999,50.209499,3,waha_2
2025.12.24_11.33.26,5.344051,50.209413,3,waha_2
2025.12.24_11.33.32,5.344078,50.209321,3,waha_2
2025.12.24_11.33.39,5.344084,50.209223,3,waha_2
2025.12.24_11.33.46,5.34407,50.209124,3,waha_2
2025.12.24_11.33.53,5.344045,50.209032,3,waha_2
2025.12.24_11.34.01,5.344,50.208934,3,waha_2
2025.12.24_11.34.08,5.343944,50.208843,3,waha_2
2025.12.24_11.34.15,5.343883,50.20875,3,waha_2
2025.12.24_11.34.21,5.343818,50.208669,3,waha_2
2025.12.24_11.34.28,5.343749,50.208575,3,waha_2
2025.12.24_11.34.35,5.343687,50.20849,3,waha_2
2025.12.24_11.34.43,5.343645,50.208393,3,waha_2
2025.12.24_11.34.51,5.343591,50.208306,3,waha_2
2025.12.24_11.34.59,5.343515,50.208217,3,waha_2
2025.12.24_11.35.06,5.343444,50.208133,3,waha_2
2025.12.24_11.35.12,5.343389,50.208048,3,waha_2
2025.12.24_11.35.18,5.343358,50.207953,3,waha_2
2025.12.24_11.35.24,5.343343,50.207862,3,waha_2
2025.12.24_11.35.32,5.343341,50.207761,3,waha_2
2025.12.24_11.35.38,5.343397,50.207667,3,waha_2
2025.12.24_11.35.58,5.343256,50.207649,3,waha_2
2025.12.24_11.36.04,5.343122,50.207679,3,waha_2
2025.12.24_11.36.10,5.342983,50.207706,3,waha_2
2025.12.24_11.36.16,5.342844,50.207719,3,waha_2
2025.12.24_11.36.24,5.342682,50.20771,3,waha_2
2025.12.24_11.36.31,5.342533,50.20767,3,waha_2
2025.12.24_11.36.37,5.342395,50.207622,3,waha_2
2025.12.24_11.36.43,5.342276,50.207566,3,waha_2
2025.12.24_11.36.49,5.342162,50.207507,3,waha_2
2025.12.24_11.36.55,5.342054,50.20744,3,waha_2
2025.12.24_11.37.01,5.34194,50.207383,3,waha_2
2025.12.24_11.37.08,5.341814,50.207332,3,waha_2
2025.12.24_11.37.15,5.341699,50.207277,3,waha_2
2025.12.24_11.37.22,5.341575,50.207225,3,waha_2
2025.12.24_11.37.29,5.341449,50.207171,3,waha_2
2025.12.24_11.37.36,5.341322,50.207113,3,waha_2
2025.12.24_11.37.43,5.341192,50.207056,3,waha_2
2025.12.24_11.37.50,5.341066,50.207004,3,waha_2
2025.12.24_11.37.57,5.340929,50.206984,3,waha_2
2025.12.24_11.38.04,5.340798,50.206952,3,waha_2
2025.12.24_11.38.11,5.340649,50.206927,3,waha_2
2025.12.24_11.38.18,5.340494,50.206915,3,waha_2
2025.12.24_11.38.25,5.340342,50.206914,3,waha_2
2025.12.24_11.40.20,5.338782,50.207471,3,waha_2
2025.12.24_11.40.25,5.338699,50.207549,3,waha_2
2025.12.24_11.40.32,5.338611,50.207633,3,waha_2
2025.12.24_11.40.39,5.338523,50.207713,3,waha_2
2025.12.24_11.40.45,5.33844,50.207788,3,waha_2
2025.12.24_11.40.51,5.338348,50.20787,3,waha_2
2025.12.24_11.40.59,5.338254,50.207955,3,waha_2
2025.12.24_11.41.06,5.33817,50.208044,3,waha_2
2025.12.24_11.41.12,5.338101,50.208133,3,waha_2
2025.12.24_11.41.19,5.338017,50.208216,3,waha_2
2025.12.24_11.41.27,5.33791,50.208281,3,waha_2
2025.12.24_11.41.33,5.3378,50.208354,3,waha_2
2025.12.24_11.41.40,5.337683,50.208424,3,waha_2
2025.12.24_11.41.47,5.337569,50.208498,3,waha_2
2025.12.24_11.41.53,5.337467,50.208562,3,waha_2
2025.12.24_11.41.59,5.337364,50.208631,3,waha_2
2025.12.24_11.42.06,5.337242,50.208691,3,waha_2
2025.12.24_11.42.13,5.337122,50.208751,3,waha_2
2025.12.24_11.42.19,5.337019,50.208813,3,waha_2
2025.12.24_11.42.25,5.336919,50.208878,3,waha_2
2025.12.24_11.42.31,5.33681,50.20894,3,waha_2
2025.12.24_11.42.34,5.33681,50.20894,3,waha_2
