timestamp,gps_longitude,gps_latitude,gps_accuracy_m,base_name
2025.12.13_10.56.45,5.343176,50.210333,3,waha_1
2025.12.13_10.56.45,5.343191,50.210348,3,waha_1
2025.12.13_10.57.01,5.343323,50.210296,3,waha_1
2025.12.13_10.57.10,5.343416,50.210221,3,waha_1
2025.12.13_10.57.19,5.343496,50.210136,3,waha_1
2025.12.13_10.57.28,5.343577,50.210055,3,waha_1
2025.12.13_10.57.37,5.343625,50.209968,3,waha_1
2025.12.13_10.57.45,5.343697,50.20988,3,waha_1
2025.12.13_10.57.52,5.343771,50.209796,3,waha_1
2025.12.13_10.58.00,5.343846,50.209715,3,waha_1
2025.12.13_10.58.08,5.343915,50.209627,3,waha_1
2025.12.13_10.58.16,5.343978,50.209533,3,waha_1
2025.12.13_10.58.24,5.344022,50.209443,3,waha_1
2025.12.13_10.58.32,5.344045,50.209352,3,waha_1
2025.12.13_10.58.40,5.344056,50.209257,3,waha_1
2025.12.13_10.58.47,5.344067,50.209166,3,waha_1
2025.12.13_10.58.54,5.344063,50.209072,3,waha_1
2025.12.13_10.59.02,5.344035,50.208972,3,waha_1
2025.12.13_10.59.10,5.343981,50.208877,3,waha_1
2025.12.13_10.59.17,5.343918,50.208788,3,waha_1
2025.12.13_10.59.25,5.343856,50.208705,3,waha_1
2025.12.13_10.59.32,5.343795,50.208618,3,waha_1
2025.12.13_10.59.40,5.34373,50.20853,3,waha_1
2025.12.13_10.59.49,5.343664,50.208442,3,waha_1
2025.12.13_10.59.56,5.343597,50.208358,3,waha_1
2025.12.13_11.00.03,5.34351,50.208286,3,waha_1
2025.12.13_11.00.10,5.343439,50.208203,3,waha_1
2025.12.13_11.00.18,5.343419,50.208108,3,waha_1
2025.12.13_11.00.24,5.343423,50.208015,3,waha_1
2025.12.13_11.00.31,5.343422,50.207921,3,waha_1
2025.12.13_11.00.38,5.343407,50.207831,3,waha_1
2025.12.13_11.00.45,5.343423,50.207739,3,waha_1
2025.12.13_11.01.02,5.34345,50.20765,3,waha_1
2025.12.13_11.01.10,5.343297,50.207657,3,waha_1
2025.12.13_11.01.17,5.34315,50.207693,3,waha_1
2025.12.13_11.01.24,5.343005,50.207719,3,waha_1
2025.12.13_11.01.32,5.342855,50.207728,3,waha_1
2025.12.13_11.01.40,5.342697,50.2077,3,waha_1
2025.12.13_11.01.48,5.342582,50.207641,3,waha_1
2025.12.13_11.01.56,5.342447,50.207589,3,waha_1
2025.12.13_11.02.04,5.342315,50.207531,3,waha_1
2025.12.13_11.02.11,5.342195,50.207471,3,waha_1
2025.12.13_11.02.17,5.342075,50.207422,3,waha_1
2025.12.13_11.02.24,5.341938,50.207367,3,waha_1
2025.12.13_11.02.32,5.341809,50.207312,3,waha_1
2025.12.13_11.02.39,5.34169,50.207261,3,waha_1
2025.12.13_11.02.46,5.34157,50.20721,3,waha_1
2025.12.13_11.02.55,5.341448,50.207159,3,waha_1
2025.12.13_11.03.01,5.341332,50.20711,3,waha_1
2025.12.13_11.03.08,5.341205,50.207051,3,waha_1
2025.12.13_11.03.15,5.341073,50.207007,3,waha_1
2025.12.13_11.03.22,5.340924,50.206966,3,waha_1
2025.12.13_11.03.28,5.340779,50.206958,3,waha_1
2025.12.13_11.03.35,5.340631,50.20692,3,waha_1
2025.12.13_11.03.42,5.340479,50.206909,3,waha_1
2025.12.13_11.03.49,5.340335,50.206908,3,waha_1
2025.12.13_11.05.58,5.338819,50.207486,3,waha_1
2025.12.13_11.06.06,5.338715,50.20755,3,waha_1
2025.12.13_11.06.13,5.338639,50.207626,3,waha_1
2025.12.13_11.06.20,5.338548,50.207701,3,waha_1
2025.12.13_11.06.27,5.338465,50.207774,3,waha_1
2025.12.13_11.06.34,5.338404,50.207858,3,waha_1
2025.12.13_11.06.42,5.338317,50.207938,3,waha_1
2025.12.13_11.06.49,5.338234,50.208013,3,waha_1
2025.12.13_11.06.56,5.338149,50.20809,3,waha_1
2025.12.13_11.07.03,5.338048,50.208162,3,waha_1
2025.12.13_11.07.10,5.337932,50.208232,3,waha_1
2025.12.13_11.07.17,5.33782,50.208307,3,waha_1
2025.12.13_11.07.24,5.337709,50.208374,3,waha_1
2025.12.13_11.07.30,5.337606,50.20844,3,waha_1
2025.12.13_11.07.37,5.337496,50.208516,3,waha_1
2025.12.13_11.07.44,5.337385,50.208587,3,waha_1
2025.12.13_11.07.51,5.337266,50.208649,3,waha_1
2025.12.13_11.07.58,5.33715,50.208706,3,waha_1
2025.12.13_11.08.06,5.337023,50.208766,3,waha_1
2025.12.13_11.08.13,5.336919,50.208828,3,waha_1
2025.12.13_11.08.20,5.336825,50.208902,3,waha_1
2025.12.13_11.08.23,5.336825,50.208902,3,waha_1
